produit,nom,categorie,quantite,seuil_minimum,seuil_maximum,prix_unitaire,valeur_stock,taux_rotation,jours_stock,fournisseur,emplacement,date_derniere_maj,unite_mesure,delai_livraison,statut
PROD-021,Chaussettes sport,Textile,250,40,500,4.99,1247.5,3.5,104,Fournisseur B,Zone A - Étagère 2,2024-02-11,Paquet,10,Actif
PROD-022,Pièce auto D-022,Automobile,18,4,100,45.5,819.0,0.7,521,Fournisseur C,Zone C - Palettes,2024-01-15,Unité,21,Actif
PROD-023,Médicament D-023,Pharmaceutique,480,70,550,18.75,9000.0,5.9,62,Fournisseur D,Zone D - Sécurisé,2024-02-26,Paquet,5,Actif
PROD-024,Produit Meubles 024,Meubles,15,3,80,149.99,2249.85,0.4,913,Fournisseur F,Zone C - Palettes,2024-01-30,Unité,21,Actif
PROD-025,Chargeur USB-C rapide,Électronique,320,50,800,29.99,9596.8,6.3,58,Fournisseur Européen,Zone A - Étagère 1,2024-02-17,Unité,7,Actif
PROD-026,Chocolat noir 70%,Alimentaire,420,60,600,2.99,1255.8,7.8,47,Fournisseur A,Zone B - Réfrigéré,2024-02-29,Unité,3,Actif
PROD-027,Veste imperméable,Textile,35,7,180,89.99,3149.65,1.2,304,Fournisseur B,Zone A - Étagère 2,2024-02-09,Unité,14,Actif
PROD-028,Pièce auto E-028,Automobile,12,3,80,99.99,1199.88,0.5,730,Fournisseur C,Zone C - Palettes,2024-01-10,Unité,21,Actif
PROD-029,Médicament E-029,Pharmaceutique,900,120,1000,6.49,5841.0,9.1,40,Fournisseur D,Zone D - Sécurisé,2024-03-02,Paquet,2,Actif
PROD-030,Produit Sport 030,Sport,90,15,400,54.99,4949.1,2.2,166,Fournisseur E,Zone E - Rapide,2024-02-07,Unité,14,Actif
PROD-031,Câble HDMI,Électronique,500,75,1200,8.99,4495.0,7.2,51,Fournisseur Asiatique,Zone A - Étagère 1,2024-02-13,Unité,21,Actif
PROD-032,Biscuits sablés,Alimentaire,880,120,1100,1.79,1575.2,10.1,36,Fournisseur A,Zone C - Palettes,2024-02-27,Paquet,5,Actif
PROD-033,Chemise homme,Textile,55,10,220,34.99,1924.45,1.9,192,Fournisseur B,Zone A - Étagère 2,2024-02-04,Unité,21,Actif
PROD-034,Pièce auto F-034,Automobile,8,2,60,150.0,1200.0,0.3,1217,Fournisseur C,Zone C - Palettes,2024-01-05,Unité,14,Actif
PROD-035,Médicament F-035,Pharmaceutique,620,90,700,22.5,13950.0,6.1,60,Fournisseur D,Zone D - Sécurisé,2024-02-24,Paquet,7,Actif
PROD-036,Produit Électronique 036,Électronique,110,20,400,129.99,14298.9,3.8,96,Fournisseur Européen,Zone A - Étagère 1,2024-02-06,Unité,7,Actif
PROD-037,Conserve de thon,Alimentaire,720,100,900,1.99,1432.8,8.5,43,Fournisseur A,Zone C - Palettes,2024-02-21,Unité,5,Actif
PROD-038,Robe été florale,Textile,28,6,150,59.99,1679.72,1.4,261,Fournisseur B,Zone A - Étagère 2,2024-02-02,Unité,21,Actif
PROD-039,Pièce auto G-039,Automobile,5,2,50,89.99,449.95,0.6,608,Fournisseur C,Zone C - Palettes,2024-01-01,Unité,14,Actif
PROD-040,Médicament G-040,Pharmaceutique,750,110,800,9.99,7492.5,8.7,42,Fournisseur D,Zone D - Sécurisé,2024-03-03,Paquet,3,Actif
PROD-041,Disque Dur SSD 1TB,Électronique,65,15,250,89.99,5849.35,4.5,81,Fournisseur Asiatique,Zone A - Étagère 1,2024-02-16,Unité,14,Actif
PROD-042,Huile d'olive extra vierge,Alimentaire,380,50,500,7.49,2846.2,6.4,57,Fournisseur A,Zone B - Réfrigéré,2024-02-26,Litre,7,Actif
PROD-043,Pyjama coton,Textile,95,15,300,29.99,2849.05,2.4,152,Fournisseur B,Zone A - Étagère 2,2024-02-14,Unité,10,Actif
PROD-044,Pièce auto H-044,Automobile,15,4,100,75.5,1132.5,0.8,456,Fournisseur C,Zone C - Palettes,2024-01-08,Unité,14,Actif
PROD-045,Médicament H-045,Pharmaceutique,580,85,650,14.75,8555.0,5.5,66,Fournisseur D,Zone D - Sécurisé,2024-02-20,Paquet,5,Actif
PROD-046,Produit Alimentaire 046,Alimentaire,240,30,400,4.25,1020.0,5.2,70,Fournisseur F,Zone C - Palettes,2024-02-12,Kg,3,Actif
PROD-047,Clavier mécanique,Électronique,120,25,350,69.99,8398.8,3.2,114,Fournisseur Européen,Zone A - Étagère 1,2024-02-08,Unité,7,Actif
PROD-048,Farine T55,Alimentaire,1500,200,1800,0.89,1335.0,12.5,29,Fournisseur A,Zone C - Palettes,2024-03-01,Kg,2,Actif
PROD-049,Serviette de bain,Textile,180,30,400,14.99,2698.2,3.8,96,Fournisseur B,Zone A - Étagère 2,2024-02-18,Unité,14,Actif
PROD-050,Drap housse 200x200,Textile,45,8,200,39.99,1799.55,1.1,332,Fournisseur B,Zone A - Étagère 2,2024-02-01,Unité,21,Actif
